Date,AAPL,GOOGL,MSFT
2025-12-23,0.005129726100470355,0.014752428633956649,0.003980023810253641
2025-12-24,0.0053238158353827725,-0.0008271345970306543,0.0024031254578502637
2025-12-26,-0.0014973530252399003,-0.0018465617467220419,-0.000635160515604416
2025-12-29,0.0013168132449112857,0.00015944560432412658,-0.001250745693541444
2025-12-30,-0.002483993295382736,0.0009248901236762475,0.0007801596803003186
2025-12-31,-0.004467601499789753,-0.0027083195379491443,-0.007918308222643278
2026-01-02,-0.003126523879828924,0.006868990084614612,-0.022083435687120456
2026-01-05,-0.013837113287258118,0.00441064469413921,-0.0001903375156925291
2026-01-06,-0.018334308830022295,-0.006950186856771512,0.011970000253572977
2026-01-07,-0.00773747740562758,0.024304939675017012,0.010365499243197629
2026-01-08,-0.004955108337700187,0.010745982163548273,-0.011086551233978836
